,currency,sector,credit_source,time,variable,value
16193,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-11-01,Innenlandsk lσnegjeld,927.728
16194,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2004-12-01,Innenlandsk lσnegjeld,938.233
16195,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-01-01,Innenlandsk lσnegjeld,947.837
16196,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-02-01,Innenlandsk lσnegjeld,954.909
16197,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-03-01,Innenlandsk lσnegjeld,966.443
16198,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-04-01,Innenlandsk lσnegjeld,979.732
16199,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-05-01,Innenlandsk lσnegjeld,993.615
16200,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-06-01,Innenlandsk lσnegjeld,1007.908
16201,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-07-01,Innenlandsk lσnegjeld,1018.951
16202,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-08-01,Innenlandsk lσnegjeld,1028.942
16203,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-09-01,Innenlandsk lσnegjeld,1043.263
16204,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-10-01,Innenlandsk lσnegjeld,1049.952
16205,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-11-01,Innenlandsk lσnegjeld,1056.922
16206,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2005-12-01,Innenlandsk lσnegjeld,1103.137
16207,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2006-01-01,Innenlandsk lσnegjeld,1122.165
16208,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2006-02-01,Innenlandsk lσnegjeld,1128.519
16209,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2006-03-01,Innenlandsk lσnegjeld,1143.944
